unicode	ids_sequence	xhzd_index	variant	variant_warning	gong_huangcheng_reading	rhyme_class	initial_class	pronunciation_warning	english_definition
𗀀	⿱𘠀⿰𘢰𘠆	8			do	1.49	III		poison
𗀁	⿱𘠀⿵𘠒𘡯	30			sa		VI		to suck
𗀂	⿱𘠀⿰𘠨𘢓	101			tśhja̱	1.21	VII		strong
𗀃	⿱𘠀⿰𘣣𘠐	38			śio	2.43	VII		to mate
𗀄	⿱𘠀⿰𘣴𘠢	26			ŋwu	2.1	V		collar
𗀅	⿱𘠀⿲𘠐𘠳𘠢	13			zar	2.73	IX		to undergo
𗀆	⿱𘠀⿰𘤊𘠢	65			gjwɨr	2.77	V		back of the body
𗀇	⿱𘠀𘨐	5			gjow	1.56	V		be able to
𗀈	⿱𘠀⿰𘤣𘠢	87			tsow	1.54	VI		incomplete
𗀉	⿱𘠀⿰𘫿𘠢	66			kiej	2.31	V		ankle
𗀊	⿱𘠀⿰𘠨𘤮	104			tśhja̱	1.21	VII		to gather
𗀋	⿱𘠀⿲𘠨𘢰𘠆	80			phio	2.43	I		snake
𗀌	⿱𘠀⿰𘡰𘡰	116			tśhja	1.19	VII		vehicle
𗀍	⿱𘠀⿲𘠁𘤬𘠢	25			khie̱	1.13	V		mixed and disorderly
𗀎	⿱𘠀⿰𘡽𘢒	56			rjijr	2.68	IX		nearby
𗀏	⿱𘠀⿲𘠒𘫺𘡆	17			?ar	2.73			a kind of horse
𗀐	⿱𘠀⿰𘤞𘠺	143			dźjij	1.35	VII		cold
𗀑	⿱𘠀⿰𘦛𘠢	67			ljij	2.33	IX		to shelter
𗀒	⿱𘠀⿰𘦳𘠢	68			śjow	2.48	VII		Buddhist monk
𗀓	⿱𘡳⿰𘠈𘣴	147			śjij	2.32	VII		to request
𗀔	⿱𘠀⿲𘠨𘢌𘠢	89			tśhja̱	1.21	VII		above
𗀕	⿱𘠀⿰𘠐𘧮	35			zar	2.73	IX		bride-price
𗀖	⿱𘠀⿰𘧶𘠢	69			lọ	2.62	IX		to rely on
𗀗	⿱𘠀⿰𘤞𘢒	145			tse̱w	2.41	VI		to melt
𗀘	⿱𘠀⿰𘨷𘠢	70			thjwɨ	1.30	III		to meet
𗀙	⿱𘠀⿲𘠨𘣚𘠢	82			phə̱	1.31	I		to detest
𗀚	⿱𘠀⿰𘣣𘣮	4507			śio	1.50	VII		to guide
𗀛	⿱𘠀⿰𘣴𘣩	4537	𗀛		khji	1.11	V		to open
𗀜	⿱𘠀⿰𘣴𘥗	43			ŋwu	2.1	V		then
𗀝	⿱𘠀⿲𘤊𘡃𘠢	90			wor	1.89	II		chicken
𗀞	⿱𘠀⿰𘤞𘣹	148			tọ	1.70	III		to coagulate
𗀟	⿱𘡳⿰𘠐𘣣	50			nji̱	1.14	III		to marry
𗀠	⿱𘠀⿰𘠨⿰𘠁⿰𘤕𘠢	84			phə̱	1.31	I		to integrate
𗀡	⿱𘠀⿲𘠨𘦔𘠢	95			tśhja̱	1.21	VII		to be licentious
𗀢	⿱𘠀⿰𘣣𘥸	4516			śio	2.43	VII		to drive
𗀣	⿱𘠀⿰𘣴𘥭	4548	𗀣		xar	1.80	VIII		to open(one’s mouth)
𗀤	⿱𘠀⿰𘣴𘧖	44			ŋwu	2.1	V		few
𗀥	⿱𘠀⿲𘦛𘠨𘠢	88			tew	1.43	III		egg
𗀦	⿱𘠀⿲𘠱𘢚𘤃								
𗀧	⿱𘠀⿲𘢌𘦱𘠢	97			dji̱j	2.35	III		to accuse falsely
𗀨	⿱𘠀⿰𘫖𘠢	18			thjwu	2.3	III		to meet
𗀩	⿱𘠀⿰𘢌⿰𘠐⿰𘤾𘠢	77			dji̱j	2.35	III		to ache
𗀪	⿱𘠀⿲𘤊𘦽𘠢	85			le	2.7	IX		peacock
𗀫	⿱𘠀⿰𘤏⿰𘢌⿰𘢘𘠢	14			pho̱	1.52	I		to cover
𗀬	⿱𘠀⿰𘨷𘪄	117			thew	2.38	III		completely
𗀭	⿱𘠀⿰𘩁𘪄	48			thjwu	2.3	III		at last
𗀮	⿱𘠀⿲𘨷𘨷𘠢	91			thew	2.38	III		to meet
𗀯	⿱𘠀⿰𘨷⿺𘠇𘪙	99			thjwɨ	1.30	III		to finish
𗀰	⿰𘠁𘡤	1939			lhjɨ̣	1.69	IX		great waves
𗀱	⿰𘠁𘡯	1961			phio	2.43	I		to sing
𗀲	⿰𘠁𘡲	1952			tśhjiw	2.40	VII		to pass through
𗀳	⿰𘠁𘢪	3483			tśjɨ̱r	1.92	VII		to attack
𗀴	⿰𘠁𘣀	2955						true	a transliteration
𗀵	⿰𘠁𘤃	2380			mej	2.30	I		a kind of grass
𗀶	⿰𘠁𘤊	2954			thow	1.54	III		a kind of bird
𗀷	⿰𘠁𘤕	2561			khju	2.3	V		penis
𗀸	⿰𘠁𘤜	3472			te̱j	1.37	III		to ripple
𗀹	⿰𘠁𘤧	3766			zji	1.11	IX		little
𗀺	⿰𘠁𘤬	3484			nər	2.76	III		finger
𗀻	⿰𘠁𘤱	2979			tshjwĩ	1.16	VI		cun, a traditional unit of length
𗀼	⿰𘠁𘥂	2907			kạ	2.56	V		a small steelyard for weighing gold, medicine and so on
𗀽	⿰𘠁𘥍	2948			tew	1.43	III		to pound with a pestle
𗀾	⿰𘠁𘥔	2991			tsewr	1.87	VI		cup
𗀿	⿰𘠁𘥧	1895			lji	1.10	IX		tired
𗁀	⿲𘠁𘢌𘠡	2946			ko	1.49	V		to put (the palms together)
𗁁	⿰𘠁𘦈	2562			·wjij	2.32	II		to exist
𗁂	⿰𘠁𘦡	3757			dzjiw	2.40	VI		wooden handcuffs
𗁃	⿰𘠁𘦢	3486			kjụ	1.59	V		to cut
𗁄	⿰𘠁𘦧	3449			mo	2.42	I		fatigue
𗁅	⿰𘠁𘦳	3485			lạ	1.63	IX		hand
𗁆	⿲𘠁𘠨𘢌	2381			bjịj	1.61	I		man of wealth
𗁇	⿰𘠁⿱𘠀𘧀	1984			lə		IX		foolish
𗁈	⿲𘠁𘡱𘠴	1919	𗸢		twa	1.17	III		a transliteration
𗁉	⿰𘠁𘨃	3759			phjịj	1.61	I		slant
𗁊	⿰𘠁𘨆	3487			bjạ	1.64	I		coarse
𗁋	⿲𘠁𘦢𘠅	2936			tja̱	1.21	III		to drip
𗁌	⿲𘠁𘤬𘠢	2710			de̱r	2.84	III		to grind
𗁍	⿲𘠁𘢬𘠴	1925			bju	1.2	I		a surname
𗁎	⿲𘠁𘢰𘡃	2959			dźjị		VII		ox
𗁏	⿰𘠁𘨰	2930			kio̱	1.53	V		to bite
𗁐	⿲𘠁𘠣𘣩	1940			mjọ	2.64	I		exhausted
𗁑	⿲𘠁𘡫𘢌	2386			ljɨ̱	1.32	IX		a surname
𗁒	⿰𘠁⿱𘠀⿲𘡃𘠁𘡃	1972			lə̣	1.68			to distend
𗁓	⿲𘠁𘡱𘢞	2553	𗸣		tə	1.27	III		a transliteration
𗁔	⿲𘠁𘢌𘡫	1975			tạ	1.63	III		to marry
𗁕	⿰𘠁⿺𘢍𘡫	1960			tạ	1.63			to marry
𗁖	⿰𘠁⿺𘢍⿰𘫺𘠅	2956			djọ	2.64	III		to build
𗁗	⿲𘠁𘢌𘢶	2919			mjij	2.33	I		a surname
𗁘	⿰𘠁⿰𘡃⿰𘠌𘡃	2971			rjijr	2.68	IX		to distend
𗁙	⿲𘠁𘤕𘡀								
𗁚	⿲𘠁𘤕𘡔	2941			kjɨ̱r	2.85	V		fence
𗁛	⿰𘠁⿱𘡊⿰𘠳𘠢	3466			lạ	2.56	IX		to estimate
𗁜	⿲𘠁𘦖𘠢	2713			wjor	1.90	II		backbone
𗁝	⿲𘠁𘤬𘠴	1920			gjiw	1.45	V		respectful
𗁞	⿲𘠁𘤱𘡃	2973			tśhja̱	2.18	VII		cui, a traditional unit of length
𗁟	⿲𘠁𘢰𘢒	2564			kjụ	1.59	V		treasure
𗁠	⿲𘠁𘢷𘢌	2389			wow	2.47	II		a surname
𗁡	⿰𘠁𘪏	2923			phji	1.11	I		dustpan
𗁢	⿰𘠁𘪖	2942			lhia̱	2.20	IX		to fall
𗁣	⿲𘠁𘣇𘢌	2394			dzjɨ	1.30	VI		careful
𗁤	⿲𘠁𘣇𘢷	2990			dzjɨ	1.30	VI		tiger
𗁥	⿲𘠁⿱𘠀𘠨𘥇	2985	𗶗		tśjọ	2.64	VII		heavy
𗁦	⿲𘠁𘠨𘦳	3506			bjịj	1.61	I		to raise
𗁧	⿲𘠁𘣠𘡧	1929			tew	1.43	III		to become thin
𗁨	⿲𘠁𘡰𘣣	1973			bji̱	2.12	I		the common people
𗁩	⿲𘠁𘡱𘥁	2988	𗸤		tẽ	1.15	III		a transliteration
𗁪	⿲𘠁𘢌𘣟	1982			thew	2.38	III		a transliteration
𗁫	⿲𘠁𘢏𘤄	2382			sə	1.27	VI		end
𗁬	⿲𘠁𘢌𘤏	2559			thow	1.54	III		a surname
𗁭	⿲𘠁𘤆𘡲	1955			dźjwo	1.48	VII		to drill
𗁮	⿲𘠁𘢌𘤥	3465			tśhji	1.10	VII		meat
𗁯	⿲𘠁𘤕𘡤	1953			khiə	2.26	V		a surname
𗁰	⿲𘠁𘤕𘢌								
𗁱	⿲𘠁𘢡𘤃	2372			·jij	2.33	VIII		a kind of grass
𗁲	⿲𘠁𘢡𘤕	2563			mej	2.30	I		hair
𗁳	⿲𘠁𘢡𘤾	2822			·ja̱	2.18	VIII		horn
𗁴	⿲𘠁𘢡𘥇	2980			ljɨ̣	1.69	IX		daughter-in-law
𗁵	⿲𘠁𘢡𘥖	2958			·jij	2.33	VIII		knitting wool
𗁶	⿲𘠁𘦳𘠳	1956			phji̱j	1.39	I		even
𗁷	⿲𘠁𘦳𘠴	1922			khia	1.18	V		to shoot
𗁸	⿲𘠁𘤬𘣈	1921			se	2.7	VI		to tighten
𗁹	⿲𘠁𘧀𘡃	2977			tha		III		narrowness
𗁺	⿰𘠁⿱𘢸𘣒	2908			kjir	1.79	V		clumsy
𗁻	⿰𘠁⿰𘠣⿰𘫽𘠢	2704			lhjịj		IX		skeleton
𗁼	⿰𘠁⿰𘠨⿰𘢌𘠨	1976			bjij	2.33	I		gold
𗁽	⿰𘠁⿱𘡩⿰𘡡𘠡	2832			tshej	1.33	VI		to invade and harass
𗁾	⿲𘠁𘢌𘦃	2940			tạ	1.63	III		to rest
𗁿	⿰𘠁⿺𘢍𘦃	2957	𗁾		tạ	1.63	III		to rest
𗂀	⿲𘠁𘢌𘧓	2839			ko	1.49	V		a transliteration
𗂁	⿲𘠁𘤕𘣣	1974			khiə	2.26	V		to mate
𗂂	⿰𘠁⿰𘤟⿰𘠁𘢌	2385			śju	2.2	VII		meat
𗂃	⿰𘠁⿺𘢦𘦳	3461			tśhjwa̱	1.21	VII		to separate
𗂄	⿲𘠁𘦳𘡧	1923			ɣwa	1.17	VIII		treasure
𗂅	⿲𘠁𘦳𘢌	2384			mjijr	2.68	I		prime minister
𗂆	⿲𘠁𘦳𘢓	2939			zjịj	1.61	IX		to hit
𗂇	⿲𘠁𘦳𘢞	2554			kiwej	1.34	V		wrist
𗂈	⿲𘠁𘦳𘢶	2920			zjɨ̣	1.69	IX		left side
𗂉	⿲𘠁𘦳𘣀	2970			·we̱	1.12	II		to lose
𗂊	⿲𘠁𘤬𘣵	1927			dźjwa	1.19	VII		to jump
𗂋	⿲𘠁𘤬𘤹	2944			njar	1.82	III		to flip
𗂌	⿰𘠁⿱𘡎⿰𘠡𘥍	2947			·jo̱r	1.94	VIII		firm
𗂍	⿰𘠁𘫙	1893			lhji̱	1.14	IX		to pull out
𗂎	⿲𘠁𘣎𘥿	2387			tshjɨj	2.37	VI		purple
𗂏	⿲𘠁𘡦𘨈	3519			·ju	1.2	VIII		big tree
𗂐	⿰𘠁⿱𘡩⿰𘠡𘤧	2831			tshwa	1.17	VI		to invade and harass
𗂑	⿲𘠁𘣚𘦳	3496	𗂒		kwar	1.80	V		to observe
𗂒	⿰𘠁⿺𘣛𘦳	3462			kwar	1.80	V		to observe
𗂓	⿲𘠁𘣠𘧓	2838			tew	1.43	III		a transliteration
𗂔	⿲𘠁𘣥𘦉	2572	𘈥		sa	1.17	VI		to swell
𗂕	⿲𘠁𘢌𘨟	3518			miej	1.34	I		mole
𗂖	⿲𘠁𘤊𘥿	2383			bowr	1.91	I		bag
𗂗	⿲𘠁𘤕⿱𘠊𘢏	1970			khiə	2.26	V		to expel
𗂘	⿲𘠁𘤕𘦢	3509			kji̱r	2.86	V		to obstruct
𗂙	⿲𘠁𘨃𘢌	2365			pha	1.17	I		difference
𗂚	⿲𘠁𘨆𘡧	1905						true	banquet
𗂛	⿲𘠁𘦖𘤾	2828			bə	2.25	I		to bear (a burden)
𗂜	⿲𘠁𘦢𘣸	1900				2.7	VI	true	round as a ball
𗂝	⿲𘠁𘫎𘠢	2711			dźjị	1.67	VII		to cut
𗂞	⿲𘠁𘨟𘡯	1966			miej	1.34	I		to call
𗂟	⿲𘠁𘦳𘣩	1954			·wjar	1.82	II		to dig
𗂠	⿲𘠁𘦳𘤆	2567			xjow	2.49	VIII		a transliteration
𗂡	⿲𘠁𘦳𘤔	2555			pər	1.84	I		to clear away
𗂢	⿲𘠁𘦳𘤕	2566			dẹ	1.65	III		even
𗂣	⿰𘠁⿰𘤻⿰𘡤𘠢	2712			wji	1.10	II		age
𗂤	⿲𘠁𘫿𘥝	1971			bia	2.15	I		to crawl
𗂥	⿲𘠁𘤻𘥱	1926			njij	2.33	III		before
𗂦	⿲𘠁𘣀𘨃	3764			·jir	2.72	VIII		to chop
𗂧	⿲𘠁𘠣𘪸	2937			lhjịj		IX		country
𗂨	⿰𘠁⿰⿱𘠀𘠨⿰𘢡𘢓	2943	𗶘		tśjọ	2.64	VII		ashamed
𗂩	⿰𘠁⿰𘤃⿰𘥇𘠢	2714			rur	1.75	IX		a surname
𗂪	⿲𘠁𘤄𘨷	2969			ŋjɨr	2.77	V		sheep
𗂫	⿲𘠁𘤕𘨼	2986			gjụ	2.52	V		penis
𗂬	⿲𘠁𘢡⿱𘣘𘡃	2904			jar	2.74	VIII		to marry
𗂭	⿲𘠁𘨃𘣮	1897			pha	1.17	I		to follow
𗂮	⿲𘠁𘨃𘣵	1898			kjɨr	1.86	V		to fly
𗂯	⿲𘠁𘨃𘤫	3473			gju		V	true	to sleep
𗂰	⿰𘠁⿰𘢢⿰𘢌𘢰	2945			lji		IX		west
𗂱	⿰𘠁⿱𘡊⿲𘠡𘤧𘠢	3467			lə	1.27	IX		neck
𗂲	⿲𘠁𘨎𘤔	2556			dzjɨj	2.37	VI		to penetrate
𗂳	⿰𘠁⿱𘨝𘣧	3471			tśjɨ̱r	2.85	VII		to shoot
𗂴	⿰𘠁𘫨	3482			tśjɨ̱r	1.92	VII		to pare
𗂵	⿲𘠁𘪲𘠴	1924			phia̱	2.20	I		to divide
𗂶	⿲𘠁𘦳𘦑	2568			rər	1.84	IX		to sew
𗂷	⿲𘠁𘦳𘦡	3758			twẹ	1.65	III		to sew
𗂸	⿲𘠁𘦳𘦳	3508			bji	2.10	I		prime minister
𗂹	⿲𘠁𘦳𘧀	2987	𗂺		lhjɨ̣	1.69	IX		to flog
𗂺	⿲𘠁𘦳𘧁	2922			lhjɨ̣	1.69	IX		to flog
𗂻	⿲𘠁𘤕𘩗	1983			dwej	1.33	III		hernia
𗂼	⿲𘠁𘨆𘦇	2550			·jij	2.33	VIII		feast
𗂽	⿲𘠁𘨆𘦙	3452			·jij	2.33	VIII		sheep
𗂾	⿲𘠁𘦦𘨱	2918			mo	2.42	I		devil
𗂿	⿲𘠁𘦳𘧦	1930			tju	1.3	III		to light a fire
𗃀	⿰𘠁⿰𘢷⿰𘤬𘣈	1933			tsjwɨ	1.30	VI		to rub
𗃁	⿲𘠁𘪎𘤘	3515			phja	2.17	I		a transliteration
𗃂	⿰𘠁⿰𘨃⿰𘡔𘡡	2818			khə̣	1.68	V		to rock
𗃃	⿲𘠁𘦳𘫶	1928			lji̱r	1.93	IX		to rub
𗃄	⿲𘠁𘤷𘪽	2989			ljwɨ	2.28	IX		fat
𗃅	⿲𘠁𘪢𘦲	3468			wer	1.77	II		to decorate
𗃆	⿲𘠁𘢡𘫕	1894			·jar	1.82	VIII		daughter-in-law
𗃇	⿰𘠁⿰𘨃⿰𘡃𘤔	2551			lja	1.19	IX		to conceal
𗃈	⿰𘠁⿰𘢡⿰𘤻𘦜	3460			sjwɨ	1.30	VI		new
𗃉	⿰𘠁⿱𘨝⿰𘢰𘢞	3451			gji̱j	1.39	V		stuffy
𗃊	⿲𘠁𘦳𘪴	3507			pho	1.49	I		to splash
𗃋	⿲𘠁𘦳𘪷	2921			·wjijr	2.68	II		to hug
𗃌	⿲𘠁𘦳⿱𘠛𘧱	2953	𗃋		·wjijr	2.68	II		to hug
𗃍	⿰𘠁⿱𘢸⿲𘢌𘠮𘢌	2972			ŋa	1.17	V		to spread
𗃎	⿰𘠁𘫲	3510			·jijr	1.74	VIII		firm
𗃏	⿰𘠁⿱𘨝⿲𘢌𘠩𘦳	3511			kjọ	2.64	V		to cut
𗃐	⿱𘠂⿻𘠀𘡃	1885						true	hunchback
𗃑	⿰𘠃𘦳	1627			tew	1.43	III		crooked
𗃒	⿲𘠃𘡽𘠴	181			lə	1.27	IX		hollow
𗃓	⿰𘠃𘪰	1584			tew	1.43	III		turbid
𗃔	⿰𘠃⿱𘡩𘨜	853			tsewr	2.78	VI		axe
𗃕	⿲𘠈𘠁𘡑	3402			zie̱	1.13	IX		to make great efforts
𗃖	⿲𘠈𘠨𘠡	3409			mju	2.3	I		a surname
𗃗	⿲𘠈𘠁𘡱	2327			bju	1.3	I		name of a star
𗃘	⿰𘠈𘤭	3736			·o	2.42	VIII		pleasure
𗃙	⿲𘠈𘠁𘥒	3414			dźiəj	2.36	VII		to sport
𗃚	⿰𘠈𘦜	3729			ne̱j	2.34	III		deaf
𗃛	⿰𘠈𘦝	3554			ljow	1.56	IX		a transliteration
𗃜	⿲𘠈𘣀𘠡	3410			ljị	2.60	IX		to be willing
𗃝	⿲𘠈𘠁𘥮	2334			bju	1.3	I		baby
𗃞	⿰𘠈𘨄	3732			kə	1.27	V		puppy
𗃟	⿰𘠈⿱𘡊𘡾	3730			kə	1.27	V		bag
𗃠	⿲𘠈𘠶𘤅	2527			ne̱j	2.34	III		imperial court
𗃡	⿲𘠈𘠶𘤈	2529			pjụ	2.52	I		hat
𗃢	⿲𘠈𘠐𘦃	3404			śji̱	1.14	VII		doubt
𗃣	⿲𘠈𘢌𘢌	2537			rjir	2.72	IX		to remain
𗃤	⿲𘠈𘫽𘫺	3416			me̱	2.11	I		relief
𗃥	⿰𘠈𘩱	3739			kə	1.27	V		scabies
𗃦	⿲𘠈𘢰𘣁	3422			djɨ	1.30	III		city
𗃧	⿰𘠈⿱𘣍𘢱	2309			le̱j	2.34	IX		to rely on
𗃨	⿲𘠈𘣨𘢌	2538			·o	2.42	VIII		to change irregularly
𗃩	⿲𘠈𘢌𘣡	2319			gjij	2.33	V		remains
𗃪	⿲𘠈𘢌𘤆	2693			rjir	2.72	IX		level
𗃫	⿲𘠈𘤩𘡧	2313			pjiw	1.45	I		poor
𗃬	⿲𘠈𘤩𘢷	3424			le	2.7	IX		fear
𗃭	⿲𘠈𘦳𘠴	2314			·ju	2.2	VIII		death
𗃮	⿲𘠈𘦳𘡑	3407			dźiow	2.48	IV		plaint
𗃯	⿲𘠈𘢰𘤾	2898			djɨ	1.30	III		to fall ill frequently
𗃰	⿰𘠈⿱𘡝⿲𘠁𘡃𘠢	3397			xej	1.33	VIII		sea
𗃱	⿰𘠈⿰𘠁⿰𘡱𘣵	2310			bju	1.3	I		backbone
𗃲	⿰𘠈⿰𘠁⿰𘦂𘠴	2311			dźiəj	2.36	VII		to do
𗃳	⿰𘠈⿱𘡅𘨈	3428	𗴪			2.77	I		to observe
𗃴	⿰𘠈⿱𘢫⿲𘠁𘠮𘠢	3731			khju̱	1.6	V		to milk
𗃵	⿲𘠈𘠶⿱𘡅𘤅	3406			pjụ	2.52	I		palace
𗃶	⿲𘠈𘫽𘥫	2332			me̱	2.11	I		illness
𗃷	⿲𘠈⿱𘡊⿰𘠁𘠹𘢌	2534			khiə	2.26	V		servant
𗃸	⿰𘠈⿱𘠛𘪲	3413			xiə	1.28	VIII		to leave
𗃹	⿲𘠈𘥾𘦉	2695	𘚀		sa	1.17	VI		to be stunned
𗃺	⿰𘠈⿺𘢦𘩡	2691			lə	1.27	IX		to belch
𗃻	⿰𘠈𘫦	3734			njɨ̣	2.61	III		wisdom
𗃼	⿲𘠈⿱𘡊⿰𘠁𘠹𘥿	2535			kə	1.27	V		an insect name
𗃽	⿰𘠈⿰𘤩⿰𘠁𘨃	3811			war	1.80	II		despaired
𗃾	⿰𘠈⿱𘨞𘦲	3733			njɨ̣	2.61	III		nasal cavity
𗃿	⿱𘠊⿰𘠒𘠡	32			zji	2.9	IX		a place name
𗄀	⿱𘠊𘫿	61					IX	true	boots
𗄁	⿱𘠊⿰𘢬𘠢	76			thwo	1.49	III		illusion
𗄂	⿱𘠊⿰𘡃𘡢	6000			tshja	2.17	VI		a transliteration
𗄃	⿱𘠊⿲𘡃𘡗𘠁								
𗄄	⿱𘠊⿺𘢍⿰𘫺𘠅	64		true					to build
𗄅	⿱𘠊⿰𘡃𘣑								
𗄆	⿱𘠊⿰𘡃𘤧								
𗄇	⿱𘠊⿰𘡃𘤾								
𗄈	⿱𘠊⿰𘠮𘥦	9			śjwo	1.48	VII		to appear
𗄉	⿱𘠊⿰𘡸𘤎	49			zji	2.10	IX		a transliteration
𗄊	⿱𘠊⿰𘡸𘤾	10			zji	2.10	IX		all
𗄋	⿱𘠊⿲𘠁𘤻𘡃	52			zji	1.10	IX		a transliteration
𗄌	⿱𘠊⿰𘡃𘦺								
𗄍	⿱𘠊⿲𘡃𘠣𘡵								
𗄎	⿱𘠊⿰𘥍𘢌	142			ljị	2.60	IX		brave
𗄏	⿱𘠊⿲𘡃𘠁𘥦								
𗄐	⿱𘠊⿲𘡃𘤜𘠢	81			tśji	2.9	VII		a transliteration
𗄑	⿱𘠊⿲𘡸𘠐𘣩	27			ŋowr	2.82	V		all
𗄒	⿱𘠊⿰𘤃𘥦	94			śjwo	1.48	VII		broom
𗄓	⿱𘠊⿰𘪄𘠳	108			gjɨ̣	2.61	V		stars
𗄔	⿱𘠊⿲𘢬𘢌𘠴	86			śjwow	1.56	VII		to patrol
𗄕	⿱𘠊⿰𘫿𘥫	132			śjij	1.35	VII		to take out
𗄖	⿱𘠊⿲𘢌𘢡𘢌	123			dźji		VII		to walk
𗄗	⿱𘠊⿰𘡃𘪼								
𗄘	⿱𘠊⿰𘡃⿱𘢸𘣵	5996						true	a transliteration
𗄙	⿱𘠊⿰𘡃⿺𘢦𘦳	5998			zjwị	2.60			a transliteration
𗄚	⿱𘠊⿲𘡃𘤃𘥿								
𗄛	⿱𘠊⿲𘤳𘨷𘠢	19			ber	2.71	I		to meet
𗄜	⿱𘠊⿲𘢌𘢡𘧺	79			·wjij	1.35	II		to go
𗄝	⿱𘠀⿰𘠁𘤥	4505			kiẽ	1.15	V		earlobe
𗄞	⿱𘠀⿰𘠁𘤧	4539			·wjɨ̣	1.69	II		witch
𗄟	⿱𘠀⿰𘠁𘤮	4528			ŋwu	2.1	V		a kind of official position
𗄠	⿱𘠀⿲𘠁𘢷𘠢	4524			ŋwu	2.1	V		leader
𗄡	⿱𘠀⿰𘠁⿱𘢸𘠡	4529			kjɨ̣	2.61	V		scorched
𗄢	⿱𘠀⿰𘠁⿲𘡃𘠁𘡃	4544	𗁒		lə̣	1.68			to distend
𗄣	⿱𘠀⿲𘠁𘤧𘢓	4538			ko̱	2.45	V		crucible
𗄤	⿱𘠀⿲𘠁𘤃𘤧	4536						true	wizard
𗄥	⿱𘠀⿲𘠁𘤧𘤃	4550			lhjịj	1.61	IX		wizard
𗄦	⿱𘠀⿲𘠁𘤧𘨱	4527			dźiẹj	2.53	VII		wizard
𗄧	⿱𘠀⿲𘠁𘧀𘥿	4549	𘚡		lə	2.25	IX		flea
𗄨	⿱𘠀⿲𘠁𘧪𘧦	4506			lu	2.1	IX		to burn
𗄩	⿰𘠐𘡲	1948			bẹ	1.65	I		to pass through
𗄪	⿰𘠐𘢌	2361			nu	1.1	III		to violate
𗄫	⿰𘠐𘢓	2927			ləu		IX		nature
𗄬	⿰𘠐𘣣	1965			dzjɨj	1.42	VI		relation by marriage
𗄭	⿰𘠐𘣩	1941			dzjɨ̣	2.61	VI		to gather
𗄮	⿰𘠐𘣫	1985			gja	1.20	V		stutter
𗄯	⿲𘠐𘠳𘠢	2701			mej	1.33	I		clear
𗄰	⿰𘠐𘣹	2981			phə	2.25	I		dry
𗄱	⿲𘠐𘢌𘠁	2354	𗄹		pjij	1.36	I		deep green
𗄲	⿲𘠐𘢌𘠂								
𗄳	⿰𘠐𘤧	3762			mja̱	1.23	I		big
𗄴	⿰𘠐𘤩	3488			twe̱	2.11	III		pair
𗄵	⿰𘠐𘤭	3477			ɣiwəj	1.41	VIII		harsh and unreasonable
𗄶	⿰𘠐𘤮	3474			tśhiew	1.44	VII		to damage
𗄷	⿰𘠐𘤾	2823			mə	2.25	I		to give birth
𗄸	⿰𘠐⿱𘠀𘤮	1942			tśhja	2.16	VII		impressive and dignified manners
𗄹	⿲𘠐𘢌𘠌	1947			pjij	1.36	I		deep green
𗄺	⿰𘠐𘥿	2362			bu	2.1	I		an insect name
𗄻	⿲𘠐𘢚𘠢	2699			nwə	1.27	III		to know
𗄼	⿰𘠐𘦗	3456			lja	1.20	IX		to fall
𗄽	⿰𘠐𘦘	3763			śiã	1.25	VII		hill
𗄾	⿲𘠐𘤜𘠅	2931			sej	1.33	VI		to count
𗄿	⿰𘠐𘦢	3497			lụ	2.51	IX		to hinder
𗅀	⿰𘠐𘦳	3491			rjur	1.76	IX		bright star
𗅁	⿰𘠐𘧀	2983			·u	2.1	VIII		inner
𗅂	⿲𘠐𘢷𘠢	2708			rjar	1.82	IX		to manage
𗅃	⿲𘠐𘣁𘠢	2709			ljwụ	1.59	IX		level
𗅄	⿲𘠐𘣃𘠢	2700			lạ	1.63	IX		thick
𗅅	⿰𘠐𘧚	2938			·jiw	2.40	VIII		to harm
𗅆	⿰𘠐⿱𘡩𘡃	2833			djɨj	2.37	III		quiet
𗅇	⿰𘠐𘧫	1962			tjɨ̣j	2.55	III		mould
𗅈	⿰𘠐⿱𘠀𘦡	16			tjɨ̣j	2.55	III		to tie
𗅉	⿲𘠐𘢌𘠴	1906			nio̱w	1.57	III		a conjunction
𗅊	⿰𘠐⿺𘡄𘡷	1963			lhiẹ	2.59	IX		smooth
𗅋	⿲𘠐𘢔𘠴	1918			mji	1.11	I		not
𗅌	⿰𘠐𘨁	3498			ɣor	2.80	VIII		winding
𗅍	⿲𘠐⿱𘠚𘠳𘠢	2702			ljwɨ̣j	1.62	IX		ignorant
𗅎	⿰𘠐⿱𘠚𘫾	3490			khiwə	1.28	V		coral
𗅏	⿰𘠐𘫵	2913			ljạ	2.57	IX		to penetrate
𗅐	⿰𘠐⿱𘠛𘣡	2909			la	2.14	IX		true
𗅑	⿰𘠐⿱𘠛⿰𘠶𘠢	2911			mjịj	1.61	I		morning
𗅒	⿰𘠐𘨼	2982			dzwa	1.17	VI		short
𗅓	⿲𘠐𘡡𘢶	2917			njij	2.33	III		mountain
𗅔	⿰𘠐𘩁	1943			nja̱	2.18	III		be not
𗅕	⿰𘠐⿱𘠀𘧰	1949			le̱	2.11	IX		dark (of complexion)
𗅖	⿰𘠐⿱𘡰𘡵	1944			zji	1.11	IX		alms
