unicode	ids_sequence	xhzd_index	variant	variant_warning	gong_huangcheng_reading	rhyme_class	initial_class	pronunciation_warning	english_definition
𘒒	⿱𘧉⿰𘢷𘣮	1428			lo̱	1.52	IX		to exterminate
𘒓	⿱𘧉⿲𘠣𘤣𘠢	975			par	1.80	I		to congeal, scar
𘒔	⿱𘧉⿰𘦳𘢕	1167			twej	1.33	III		lame
𘒕	⿱𘧉⿲𘡒𘢌𘡑	1503			to̱	2.45	III		peaceful
𘒖	⿱𘧉⿰𘧘𘢌	1535			lo̱	1.52	IX		to gather
𘒗	⿱𘧉⿲𘠐𘢚𘤻	1095			piã	1.25	I		front tooth
𘒘	⿱𘧉⿲𘢌𘥇𘠢	1199			piã	1.25	I		to assist
𘒙	⿱𘧉⿰𘦳𘤻	1305			twe	1.8	III		to pile up
𘒚	⿱𘧉⿲𘣇𘣟𘠐	1508			bej	1.33	I		to lose
𘒛	⿱𘧉⿰𘧘𘣩	1512			ba̱	1.22	I		to forget
𘒜	⿱𘧉⿲𘢤𘡯𘡧	954			thjij	1.36	III		feast
𘒝	⿱𘧉⿰𘧤𘦗	976			tśhiew	1.44	VII		a unit of Tangut army
𘒞	⿳𘧉⿰𘢌𘢌𘣗	904			zju	1.2	IX		to gather
𘒟	⿱𘧉⿰𘢌𘪪								
𘒠	⿱𘧉⿰𘢌⿱𘤙𘣻	1186			źio̱w	1.57	IX		a transliteration
𘒡	⿱𘧊⿰𘧥𘤥	96			mjij	2.33	I		to braise
𘒢	⿱𘧊⿰𘦞𘧘	1130			mjij	1.36	I		gruel
𘒣	⿰𘧌𘡑	1045			dạ	2.56	III		speech
𘒤	⿰𘧌𘢞	646			le	2.7	IX		a transliteration
𘒥	⿲𘧌𘡒𘠁	483			phjɨ̱	1.32	I		to flatter
𘒦	⿰𘧌𘥍	1054			thju	1.3	III		truth
𘒧	⿰𘧌⿱𘠀𘦪	196			djwu	1.3	III		to answer
𘒨	⿲𘧌𘫽𘠢	771			phjij	1.36	I		to express by words
𘒩	⿲𘧌𘡒𘢌	524			dzju	1.2	VI		to admonish
𘒪	⿰𘧌⿺𘢍⿰𘫺𘠅	1117			dju̱	1.7	III		to argue
𘒫	⿰𘧍𘢌	5871			ze̱w	2.41	IX		to send
𘒬	⿰𘧍𘢬	5976			nji̱j	1.39			to endure
𘒭	⿰𘧍𘣜	5833			ze̱w	2.41	IX		burnt
𘒮	⿰𘧍𘤅	5869			ze̱w	2.41	IX		to supervise
𘒯	⿰𘧍𘤔	5892			ze̱w	2.41	IX		a kind of farm implements
𘒰	⿰𘧍𘦛	5977			ze̱w	2.41	IX		cape
𘒱	⿰𘧍𘦡	5991			ta	1.17	III		mortar
𘒲	⿰𘧍𘦳	5978			tər	1.84	III		to tread
𘒳	⿰𘧍𘥖	5939			tiọ	1.71	III		to sew
𘒴	⿰𘧍⿱𘡅𘤅	5936			ta	1.17	III		to supervise
𘒵	⿰𘧍𘪾	5940			tiọ	2.63	III		to press
𘒶	⿰𘧏𘣑	418			·wjɨ	1.29	II		Buddha
𘒷	⿰𘧏𘤔	719			·wjɨ	1.29			to eliminate
𘒸	⿰𘧏𘦳	1798			·wjɨ	1.29	II		treasure
𘒹	⿲𘧐𘠁𘦳	1763			lhu		IX		to increase
𘒺	⿰𘧑𘣭	187			nar	2.73	III		the old
𘒻	⿲𘧑𘠳𘠢	769			ljwij	1.36	IX		old
𘒼	⿰𘧑𘤯	647	𘒺		nar	2.73	III		the old
𘒽	⿰𘧑𘦙	1607			khjwar	1.82	V		old ox
𘒾	⿰𘧑𘩕	188			śjwɨ̱	1.32	VII		wrinkle
𘒿	⿰𘧒𘡭	4433			lwe	1.8	IX		to hinder
𘓀	⿰𘧒𘣩	4436			lwe	1.8	IX		to forget
𘓁	⿰𘧓𘢌	4444			ljɨ̣	1.69	IX		a conjunction means “and”
𘓂	⿰𘧓𘥦	4435			ljɨ̣	1.69	IX		what
𘓃	⿰𘧓𘥫	4438			ljɨ̣	1.69	IX		murderer
𘓄	⿲𘧓𘠁𘣦	4437			rjur	1.76	IX		auspicious
𘓅	⿰𘧓𘦧	4463			khjɨ	2.28	V		toil
𘓆	⿰𘧓𘦳	4464			ljɨ̣	1.69	IX		to discuss
𘓇	⿰𘧓𘨏	4465			ljɨ̣	1.69	IX		toil
𘓈	⿰𘧓𘫇	4434			dźju	2.2	VII		seed
𘓉	⿱𘡛⿰𘠁𘠒	993			lhew	1.43	IX		to herd
𘓊	⿰𘧖𘢌	502			zjɨ̱r	1.92	IX		few
𘓋	⿰𘧖𘢓	1017			ljow	2.49	IX		a little
𘓌	⿰𘧖𘤃	507			lhew	1.43	IX		herbage
𘓍	⿰𘧗𘢕	2530			sji	2.10	VI		enemy
𘓎	⿰𘧗𘣑	2333			sjwi	1.11	VI		beautiful
𘓏	⿰𘧘𘡢	2324			rjur	1.76	IX		to sigh
𘓐	⿰𘧘𘢌	2541			dzjwo	2.44	VI		person
𘓑	⿰𘧘𘢯	2896			ɣiwã	1.25	VIII		foolish
𘓒	⿰𘧘𘣈	2321			tśjɨ̱r	2.85	VII		afraid
𘓓	⿰𘧘𘣦	2323			·wə̱	1.31	II		filial piety
𘓔	⿰𘧘𘣩	2325			mjɨ̣	2.61	I		to forget
𘓕	⿰𘧘𘤜	3737			rjur	1.76	IX		frivolous
𘓖	⿰𘧘𘤮	3738			kow	1.54	V		merit
𘓗	⿰𘧘𘤻	3420			dzə	1.27	VI		concentrated
𘓘	⿰𘧘⿱𘡩𘠐	2900			gju	1.3	V		hot
𘓙	⿰𘧘𘥾	2543			rjur	1.76	IX		to hate
𘓚	⿰𘧘𘥿	2542			rjur	1.76	IX		gadfly
𘓛	⿰𘧘𘦃	3411			dzjwi	1.11	VI		still
𘓜	⿰𘧘𘦉	2696			dźji	1.11	VI		narrow
𘓝	⿰𘧘𘧸	2697			tśjɨ	1.29	VII		label
𘓞	⿰𘧘𘨅	3735			tjị	1.67	III		to hope
𘓟	⿰𘧘𘨏	3744			dźiej	2.31	VII		faith
𘓠	⿲𘧘𘫽𘠴	2322			ɣa	1.17	VIII		sorrowful
𘓡	⿰𘧘⿱𘥉𘤻	2812			rjur	1.76	IX		to cherish
𘓢	⿱⿰𘧘𘢌⿰𘥇𘠢	2407			dze̱j	2.34	VI		to ride
𘓣	⿰𘧙𘠢	2736			bia̱	2.20	I		a surname
𘓤	⿰𘧙𘣵	2021			wạ	2.56	II		pawnshop
𘓥	⿰𘧙𘤾	2847			·ụ	2.51	VIII		to bear (a burden)
𘓦	⿰𘧛𘢌	556			ljịj	1.61	IX		be awake
𘓧	⿲𘧛𘢔𘫿	1334						true	luck
𘓨	⿰𘧝𘠅	1275			ror	2.80	IX		dirt
𘓩	⿲𘧝𘤆𘠴	310			mu	2.4	I		a transliteration
𘓪	⿰𘧟⿱𘠛𘢓	4062			bjịj	1.61	I		sandalwood
𘓫	⿰𘧢⿱𘠛𘦂	1309			tśjij	1.35	VII		Qiangic people
𘓬	⿱𘠀𘥷	36			gu̱	2.5	V		a transliteration
𘓭	⿲𘧤𘡂𘠆	489			dji	2.10	III		to deal with
𘓮	⿰𘧤𘢬	1624			rur	2.69	IX		clean
𘓯	⿰𘧤𘣀	1105			khjow	1.56	V		to give
𘓰	⿰𘧤𘣣	230			ɣjɨr	1.86	VIII		to make love
𘓱	⿰𘧤𘫽	1107			ŋwə	1.27	V		heaven
𘓲	⿰𘧤𘤏	654			ŋwər	2.76	V		blue and green
𘓳	⿰𘧤𘦗	1602			ŋowr	2.82	V		whole
𘓴	⿰𘧤𘧿								
𘓵	⿰𘧤𘨿	1108			ɣjɨr	1.86	VIII		wizard
𘓶	⿰𘧤𘪆	1042			gjụ	2.52	V		body
